title,certificate,runtime,genre,rating,director,gross_earn
Creed,12A,133 min,"Action, Drama, Sport",7.6,Ryan Coogler,$109.77M
Enemy at the Gates,15,131 min,"Action, Drama, War",7.6,Jean-Jacques Annaud,$51.40M
The Little Mermaid,U,83 min,"Animation, Adventure, Comedy",7.6,Ron Clements,$111.54M
Lethal Weapon,18,109 min,"Action, Crime, Thriller",7.6,Richard Donner,$65.21M
RoboCop,18,102 min,"Action, Crime, Sci-Fi",7.6,Paul Verhoeven,$53.42M
End of Watch,15,109 min,"Action, Adventure, Crime",7.6,David Ayer,$41.00M
The Reader,15,124 min,"Drama, Romance",7.6,Stephen Daldry,$34.19M
Eastern Promises,18,100 min,"Crime, Drama, Thriller",7.6,David Cronenberg,$17.11M
Stranger Than Fiction,12A,113 min,"Comedy, Drama, Fantasy",7.6,Marc Forster,$40.14M
Match Point,12A,124 min,"Drama, Romance, Thriller",7.6,Woody Allen,$23.09M
Traffic,18,147 min,"Crime, Drama, Thriller",7.6,Steven Soderbergh,$124.12M
The Raid,18,101 min,"Action, Crime, Thriller",7.6,Gareth Evans,$4.11M
Close Encounters of the Third Kind,A,138 min,"Drama, Sci-Fi",7.6,Steven Spielberg,$132.09M
Dark City,15,100 min,"Fantasy, Mystery, Sci-Fi",7.6,Alex Proyas,$14.38M
The Hunt for Red October,PG,135 min,"Action, Adventure, Thriller",7.6,John McTiernan,$122.01M
Snow White and the Seven Dwarfs,A,83 min,"Animation, Adventure, Family",7.6,William Cottrell,$184.93M
Falling Down,18,113 min,"Action, Crime, Drama",7.6,Joel Schumacher,$40.90M
The Birds,X,119 min,"Drama, Horror, Mystery",7.6,Alfred Hitchcock,$11.40M
The Thin Red Line,15,170 min,"Drama, History, War",7.6,Terrence Malick,$36.40M
The Last King of Scotland,15,123 min,"Biography, Drama, History",7.6,Kevin Macdonald,$17.61M
Rushmore,15,93 min,"Comedy, Drama, Romance",7.6,Wes Anderson,$17.11M
Dazed and Confused,18,103 min,Comedy,7.6,Richard Linklater,$7.99M
Battle Royale,18,114 min,"Action, Adventure, Drama",7.6,Kinji Fukasaku,
What We Do in the Shadows,15,86 min,"Comedy, Horror",7.6,Jemaine Clement,$3.33M
The Jungle Book,U,78 min,"Animation, Adventure, Comedy",7.6,Wolfgang Reitherman,$141.84M
Mad Max 2,X,96 min,"Action, Adventure, Sci-Fi",7.6,George Miller,$12.47M
The Fly,18,96 min,"Drama, Horror, Sci-Fi",7.6,David Cronenberg,$40.46M
Breakfast at Tiffany's,PG,115 min,"Comedy, Drama, Romance",7.6,Blake Edwards,
25th Hour,15,135 min,Drama,7.6,Spike Lee,$13.06M
The Naked Gun: From the Files of Police Squad!,15,85 min,"Comedy, Crime",7.6,David Zucker,$78.76M
The Skin I Live In,15,120 min,"Drama, Horror, Thriller",7.6,Pedro Almodóvar,$3.19M
I Am Sam,12,132 min,Drama,7.6,Jessie Nelson,$40.31M
Ponyo,U,101 min,"Animation, Adventure, Comedy",7.6,Hayao Miyazaki,$15.09M
Lost Highway,18,134 min,"Mystery, Thriller",7.6,David Lynch,$3.80M
"Planes, Trains & Automobiles",15,93 min,"Comedy, Drama",7.6,John Hughes,$49.53M
Escape from Alcatraz,15,112 min,"Action, Biography, Crime",7.6,Don Siegel,$43.00M
Star Trek: First Contact,12,111 min,"Action, Adventure, Drama",7.6,Jonathan Frakes,$92.00M
My Cousin Vinny,15,120 min,"Comedy, Crime",7.6,Jonathan Lynn,$52.93M
Barton Fink,15,116 min,"Comedy, Drama, Thriller",7.6,Joel Coen,$6.15M
West Side Story,A,153 min,"Crime, Drama, Musical",7.6,Jerome Robbins,$43.66M
The Wave,15,107 min,"Drama, Thriller",7.6,Dennis Gansel,
United 93,15,111 min,"Action, Drama, History",7.6,Paul Greengrass,$31.57M
Enter The Dragon,X,102 min,"Action, Crime, Drama",7.6,Robert Clouse,$25.00M
Volver,15,121 min,"Comedy, Drama",7.6,Pedro Almodóvar,$12.90M
Philomena,12A,98 min,"Biography, Comedy, Drama",7.6,Stephen Frears,$37.71M
The Hurricane,15,146 min,"Biography, Drama, Sport",7.6,Norman Jewison,$50.67M
Blood Simple,18,99 min,"Crime, Drama, Thriller",7.6,Joel Coen,$2.15M
Arrietty,U,94 min,"Animation, Adventure, Drama",7.6,Hiromasa Yonebayashi,$19.20M
Rebel Without a Cause,PG,111 min,Drama,7.6,Nicholas Ray,
La Vie en Rose,12A,140 min,"Biography, Drama, Music",7.6,Olivier Dahan,$10.30M
Delicatessen,15,99 min,"Comedy, Crime",7.6,Marc Caro,$1.79M
The Bridges of Madison County,12,135 min,"Drama, Romance",7.6,Clint Eastwood,$71.52M
The Kite Runner,12A,128 min,Drama,7.6,Marc Forster,$15.80M
Freedom Writers,12A,123 min,"Biography, Crime, Drama",7.6,Richard LaGravenese,$36.61M
Fearless,15,104 min,"Action, Biography, Drama",7.6,Ronny Yu,$24.63M
A Very Long Engagement,15,133 min,"Drama, Mystery, Romance",7.6,Jean-Pierre Jeunet,$6.17M
Three Colors: White,15,92 min,"Comedy, Drama, Romance",7.6,Krzysztof Kieslowski,$1.46M
The Station Agent,15,89 min,"Comedy, Drama",7.6,Tom McCarthy,$5.74M
Dangerous Liaisons,15,119 min,"Drama, Romance",7.6,Stephen Frears,$34.70M
Mysterious Skin,18,105 min,Drama,7.6,Gregg Araki,$0.70M
After Hours,15,97 min,"Comedy, Crime, Drama",7.6,Martin Scorsese,$10.60M
Cell 211,18,113 min,"Action, Crime, Drama",7.6,Daniel Monzón,
The Body,15,112 min,"Action, Crime, Drama",7.6,Oriol Paulo,
Control,15,122 min,"Biography, Drama, Music",7.6,Anton Corbijn,$0.87M
Sabrina,U,113 min,"Comedy, Drama, Romance",7.6,Billy Wilder,
Victoria,15,138 min,"Crime, Drama, Romance",7.6,Sebastian Schipper,
Where Eagles Dare,PG,158 min,"Action, Adventure, War",7.6,Brian G. Hutton,
The 39 Steps,A,86 min,"Crime, Mystery, Thriller",7.6,Alfred Hitchcock,
Dead Man's Shoes,18,90 min,"Crime, Drama, Thriller",7.6,Shane Meadows,$0.01M
Leviathan,15,140 min,"Crime, Drama",7.6,Andrey Zvyagintsev,$1.09M
Repulsion,X,105 min,"Drama, Horror, Thriller",7.6,Roman Polanski,
Kuch Kuch Hota Hai,U,177 min,"Comedy, Drama, Musical",7.6,Karan Johar,$2.10M
Kelly's Heroes,A,144 min,"Adventure, Comedy, War",7.6,Brian G. Hutton,$1.38M
From Here to Eternity,PG,118 min,"Drama, Romance, War",7.6,Fred Zinnemann,$30.50M
A Hard Day's Night,12A,87 min,"Comedy, Musical",7.6,Richard Lester,$13.78M
Withnail & I,15,107 min,"Comedy, Drama",7.6,Bruce Robinson,$1.54M
The Tenant,X,126 min,"Drama, Thriller",7.6,Roman Polanski,$1.92M
The Visitor,15,104 min,Drama,7.6,Tom McCarthy,$9.42M
Le Dîner de Cons,15,80 min,Comedy,7.6,Francis Veber,$4.07M
Shane,PG,118 min,"Drama, Western",7.6,George Stevens,$20.00M
In a Better World,15,118 min,"Drama, Romance",7.6,Susanne Bier,$1.01M
Giant,A,201 min,"Drama, Western",7.6,George Stevens,
Fallen Angels,15,99 min,"Comedy, Crime, Drama",7.6,Kar-Wai Wong,
Mustang,15,97 min,Drama,7.6,Deniz Gamze Ergüven,$0.85M
Boy A,15,102 min,Drama,7.6,John Crowley,$0.11M
Watership Down,U,91 min,"Animation, Adventure, Drama",7.6,Martin Rosen,
The Muppet Movie,U,95 min,"Adventure, Comedy, Family",7.6,James Frawley,$76.66M
The Commitments,15,118 min,"Comedy, Drama, Music",7.6,Alan Parker,$14.92M
The Secret of Kells,PG,71 min,"Animation, Adventure, Family",7.6,Tomm Moore,$0.69M
Little Big Man,15,139 min,"Adventure, Comedy, Drama",7.6,Arthur Penn,$31.56M
Peeping Tom,X,101 min,"Drama, Horror, Thriller",7.6,Michael Powell,$0.08M
